Categoria;Nome;Ingredienti;Prezzo_Normale;Prezzo_Famiglia
I Covaccini;COVACCINO;Bufala, Crudo, Rucola, Grana;7.50;14.00
I Covaccini;ESTIVA;Bufala, Ciliegino, Rucola, Bresaola, Limone, Scaglie di grana;8.00;15.00
I Covaccini;LEGGERA;Bufala, Funghi porcini, Rucola, Scaglie di grana;7.50;14.00
I Covaccini;ORTOLANA;Bufala, Funghi, Emmenthal, Ciliegino, Rucola, Scaglie di grana;7.50;14.00
I Covaccini;PIPER’S;Bufala, Funghi, Emmenthal, Ciliegino, Scaglie di grana;7.50;14.00
I Covaccini;SCAMORZA;Bufala, Funghi, Scamorza, Speck, Scaglie di grana;7.50;14.00
I Covaccini;SMERALDA;Bufala, Funghi porcini, Rucola, Ciliegino, Scaglie di grana;7.50;14.00
Le Novità;CHIARA (bordo ripieno);Ricotta, Mozzarella, Crema funghi tartufati, Funghi porcini, Speck, Crema ai formaggi, Scaglie di grana, Granella di pistacchi;9.00;17.00
Le Novità;RICCARDO;Bufala, Ciliegino, Crudo, Rucola, Scaglie di grana, Colata di astro caramellato;8.00;15.00
Le Novità;DANILO;Pomodoro, Mozzarella, Salmone, Panna, Speck, Granella di pistacchi;8.50;16.00
Le Novità;EDOARDO;Pomodoro, Mozzarella, Pesto di pistacchio, Crudo, Emmenthal;8.00;15.00
Le Novità;ZU’ TOTO;Pesto di pistacchi, Mozzarella, Prosciutto cotto o crudo, Philadelphia, Granella di pistacchi;8.00;14.00
Le Novità;LUCA (cornice);Bufala, Emmenthal, Ciliegino, Rucola, Speck, Scaglie di grana, Astro balsamico caramellato;8.00;15.00
Le Novità;NICOLA;Mozzarella, Quattro formaggi, Funghi porcini, Salame piccante, Scaglie di grana;8.00;15.00
Le Novità;ALESSIA;Mozzarella, Pesto, Tonno, Ciliegino, Scaglie di grana;8.00;15.00
Pizza Fritta;PASTA CRESCIUTA;Acciughe, Mozzarella (8 pezzi);1.50;
Pizza Fritta;CIOPPINI SCHETTI;Pomodoro a bruschetta;1.50;
Pizza Fritta;CIOPPINI MARINATI;Rucola, Sale, Pepe, Formaggio, Olio d’oliva;2.00;
Pizza Fritta;CALZONE CLASSICO;Bufala, Ciliegino;7.00;14.00
Pizza Fritta;CALZONE NASCÉ;Bufala, Ciliegino, Crudo, Rucola, Scaglie di grana, Astro caramellato;8.00;15.00
Pizza Fritta;NAPOLETANA;Bufala, Friarielli;7.00;14.00
Ultimi Arrivi;CRICCU & CROCCU (2 mini calzoni);Prosciutto, Mozzarella, Rucola, Crema ai formaggi, Scaglie di grana;6.00;
Ultimi Arrivi;PIRREDDU;Mozzarella, Emmenthal, Funghi porcini, Porchetta, Rosmarino;8.00;15.00
Ultimi Arrivi;‘A NUCI’;Mozzarella, Bacon, Salsiccia, Crema funghi tartufata, Granella di noci;8.00;15.00
Ultimi Arrivi;CARRUBBA;Mozzarella di bufala, Crema funghi tartufata, Funghi porcini, Speck affumicato, Rucola, Scaglie di grana;9.00;17.00
Ultimi Arrivi;CICCIZZU;Mozzarella Crema funghi tartufata, Funghi porcini, Funghi, Pomodoro, Prosciutto crudo, Rucola, Scaglie di grana;8.00;15.00
